场景,风电场景,光伏场景,日氨产量(t/day),购电量(MWh)_问题二,售电量(MWh)_问题二,最大购电功率(MW)_问题二,最大反送功率(MW)_问题二,交换功率峰谷差(MW)_问题二,最大爬坡功率(MW/h)_问题二,交换功率标准差(MW)_问题二,购电量(MWh)_问题三,售电量(MWh)_问题三,最大购电功率(MW)_问题三,最大反送功率(MW)_问题三,交换功率峰谷差(MW)_问题三,最大爬坡功率(MW/h)_问题三,交换功率标准差(MW)_问题三,购电量(MWh)_变化,售电量(MWh)_变化,最大购电功率(MW)_变化,最大反送功率(MW)_变化,交换功率峰谷差(MW)_变化,最大爬坡功率(MW/h)_变化,交换功率标准差(MW)_变化
风电3-光伏1,3,1,72,402.2482,126.36819999999999,36.8782,22.834200000000003,59.7124,13.945799999999995,21.610061650999516,402.2482,126.3682,36.8782,22.834200000000003,59.7124,13.945799999999995,21.61006165099952,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,3.552713678800501e-15
风电3-光伏2,3,2,36,245.10039999999998,208.6604,35.008199999999995,36.76,71.7682,42.757999999999996,22.2945286138899,237.40619950132367,210.9661995615503,35.008199999999995,38.974,73.98219999999999,42.757999999999996,21.86486709370658,-7.6942004986763095,2.3057995615502875,0.0,2.2139999999999986,2.2139999999999986,0.0,-0.4296615201833198
风电3-光伏2,3,2,45,278.0304,117.09040000000002,35.008199999999995,29.6438,64.65199999999999,45.5078,18.787889934712968,237.406199646199,90.82336997586924,35.008199999999995,24.3342,59.3424,35.008199999999995,17.852532897155093,-40.62420035380097,-26.267030024130776,0.0,-5.3096,-5.309599999999989,-10.499600000000008,-0.9353570375578748
风电3-光伏2,3,2,54,336.4962,51.05620000000001,35.008199999999995,12.742,47.75019999999999,42.757999999999996,15.60175009784337,277.8281874948234,3.726400000000009,35.008199999999995,3.6342,38.642399999999995,25.050212505176596,13.731540948785948,-58.66801250517659,-47.329800000000006,0.0,-9.107800000000001,-9.107799999999997,-17.7077874948234,-1.8702091490574215
风电3-光伏2,3,2,63,438.8926,28.95260000000001,36.8782,12.742,49.6202,42.2462,15.229929411049666,410.20126263736284,3.726399999999998,36.8782,3.6342,40.5124,36.8782,14.352554140984978,-28.69133736263717,-25.226200000000013,0.0,-9.107800000000001,-9.107799999999997,-5.368000000000002,-0.8773752700646877
风电3-光伏2,3,2,72,538.1664,3.7264000000000053,36.8782,3.6342,40.5124,10.3658,12.484694207263903,538.1664000000001,3.7264000000000053,36.8782,3.6342,40.5124,10.3658,12.484694207263903,1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏3,3,3,36,345.2962,143.0962,35.008199999999995,22.0942,57.102399999999996,42.2222,20.849051782435254,237.4061993679769,45.20619944430818,35.008199999999995,18.494,53.502199999999995,39.9002,15.917593510748134,-107.89000063202309,-97.89000055569183,0.0,-3.600200000000001,-3.600200000000001,-2.3220000000000027,-4.93145827168712
风电3-光伏3,3,3,45,427.13,100.43,35.008199999999995,19.8322,54.840399999999995,42.2222,19.700018713442887,309.45,7.105427357601002e-15,35.008199999999995,3.552713678800501e-15,35.0082,20.492400000000007,12.863841958146354,-117.68,-100.43,0.0,-19.832199999999997,-19.832199999999993,-21.729799999999994,-6.836176755296533
风电3-光伏3,3,3,54,522.2839999999999,71.084,36.8782,18.494,55.3722,42.2462,18.2686587783559,441.6752197802196,3.552713678800501e-15,36.8782,3.552713678800501e-15,36.87820000000001,36.8782,14.37700594058215,-80.60878021978027,-71.084,0.0,-18.493999999999996,-18.493999999999993,-5.368000000000002,-3.8916528377737496
风电3-光伏3,3,3,63,599.0062,23.306200000000004,36.8782,10.822,47.700199999999995,42.2462,12.721376850666232,567.1285714491353,0.0,36.8782,0.0,35.910399999999996,23.186199999999996,10.712743030411353,-31.877628550864756,-23.306200000000004,0.0,-10.822,-11.7898,-19.060000000000006,-2.008633820254879
风电3-光伏3,3,3,72,700.1999999999999,0.0,36.8782,0.0,17.4724,4.556199999999997,4.553416507781089,700.1999999999999,0.0,36.8782,0.0,17.4724,4.556199999999997,4.5534165077810895,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16
风电3-光伏4,3,4,36,362.8224,95.98240000000001,35.008199999999995,15.6942,50.7024,41.833800000000004,19.321078647828013,256.84000000000003,4.440892098500626e-14,35.008199999999995,4.085620730620576e-14,35.00820000000004,35.008199999999995,13.798941205839752,-105.98239999999998,-95.98239999999997,0.0,-15.69419999999996,-15.69419999999996,-6.8256000000000085,-5.522137441988262
风电3-光伏4,3,4,45,468.0122,76.6722,36.608,15.6942,52.3022,41.833800000000004,19.481821198206518,378.5858241758244,0.0,35.008199999999995,-0.0,35.008199999999995,27.383624175824398,12.968750400357345,-89.42637582417558,-76.6722,-1.5998000000000019,-15.6942,-17.294000000000004,-14.450175824175606,-6.513070797849172
风电3-光伏4,3,4,54,560.1022,44.26220000000001,36.8782,10.8722,47.7504,42.2462,16.930884406380613,510.8399999680069,0.0,36.8782,-0.0,36.8782,36.8782,14.780452971973345,-49.26220003199313,-44.26220000000001,0.0,-10.8722,-10.8722,-5.368000000000002,-2.1504314344072686
风电3-光伏4,3,4,63,657.0717999999999,16.7318,36.8782,6.68,43.5582,42.2462,12.522911290865588,631.7685714285715,0.0,36.8782,0.0,31.7724,22.696200000000005,9.62080300913677,-25.303228571428463,-16.7318,0.0,-6.68,-11.785799999999998,-19.549999999999997,-2.902108281728818
风电3-光伏4,3,4,72,764.8399999999999,0.0,36.8782,0.0,11.072399999999998,4.821999999999999,3.242932846805324,764.84,0.0,36.8782,0.0,11.072399999999998,4.821999999999999,3.2429328468053242,1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16
风电4-光伏1,4,1,36,188.95420000000001,507.15819999999997,34.5162,63.99199999999999,98.50819999999999,50.153999999999996,32.45772048953325,187.3899995013262,518.0939995615524,34.51620000000001,58.1862,92.70240000000001,39.18599999999999,30.150582030386136,-1.564200498673813,10.935799561552471,1.4210854715202004e-14,-5.805799999999991,-5.8057999999999765,-10.968000000000004,-2.307138459147115
风电4-光伏1,4,1,45,188.95420000000001,382.65819999999997,34.5162,63.99199999999999,98.50819999999999,50.153999999999996,27.510882403635595,188.95419971831046,399.53130411391476,34.51620000000001,43.7822,78.29840000000002,34.51620000000001,27.59066180104153,-2.8168955168439425e-07,16.873104113914792,1.4210854715202004e-14,-20.209799999999987,-20.209799999999973,-15.637799999999984,0.07977939740593598
风电4-光伏1,4,1,54,188.95420000000001,258.1582,34.5162,37.7922,72.3084,39.1082,20.937614542015048,188.95419971831063,266.4598755424864,34.51619971831061,43.7822,78.2983997183106,34.51619971831061,23.19981815451329,-2.8168938115413766e-07,8.30167554248635,-2.81689388259565e-07,5.990000000000002,5.9899997183105995,-4.592000281689387,2.2622036124982436
风电4-光伏1,4,1,63,246.832,191.536,36.908,23.082200000000007,59.99020000000001,40.4938,20.646291046093484,224.18823626373614,173.70600000000002,34.516199999999984,23.082200000000007,57.59839999999999,18.48599999999999,19.392544671766945,-22.64376373626385,-17.829999999999984,-2.3918000000000177,0.0,-2.3918000000000177,-22.00780000000001,-1.2537463743265391
风电4-光伏1,4,1,72,353.50199999999995,173.70600000000002,37.9142,23.082200000000007,60.99640000000001,18.486000000000004,23.001616125321863,353.502,173.70600000000002,37.9142,23.082200000000007,60.99640000000001,18.486000000000004,23.001616125321863,5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0,0.0
